Date of Trade,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date,unadjusted_quantity,unadjusted_price,split_adjustment_factor
 01/22/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY TECH OCT21 (TECS) (Short),TECS, DIREXION SHS ETF TR DAILY TECH OCT21,Short,-2.0,85.99999999999999,,,,172.0,130030.07,1/24/2024,-20,8.6,0.1
 01/22/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-5.1000000000000005,49.3,,,,251.48,130030.07,1/24/2024,-51,4.93,0.1
 01/22/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DL FTSE BULL 3X (YINN) (Short),YINN, DIREXION SHS ETF TR DL FTSE BULL 3X,Short,-7.0,14.01,,,,98.09,130030.07,1/24/2024,-7,14.01,1.0
 01/22/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679591) (Short),BERZ, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-2.0,33.3,,,,66.6,130030.07,1/24/2024,-20,3.33,0.1
 01/22/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (06367V204) (Short),FNGD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-2.0,51.9,,,,103.8,130030.07,1/24/2024,-20,5.19,0.1
 01/23/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA VIX SHORT 1 FO... (74347Y771) (Short),UVXY, PROSHARES TR II ULTRA VIX SHORT 1 FOR 5,Short,-20.0,7.26,,,,145.2,130030.07,1/25/2024,-20,7.26,1.0
 01/24/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY TECH OCT21 (TECS) (Short),TECS, DIREXION SHS ETF TR DAILY TECH OCT21,Short,-3.0,82.79999999999998,,,,248.48,130030.07,1/26/2024,-30,8.28,0.1
 01/24/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-10.0,45.49999999999999,,,,455.39,130030.07,1/26/2024,-100,4.55,0.1
 01/25/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-10.0,13.02,,,,130.2,130030.07,1/29/2024,-10,13.02,1.0
 01/25/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679591) (Short),BERZ, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-7.5,30.9,,,,231.83,130030.07,1/29/2024,-75,3.09,0.1
 01/25/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (06367V204) (Short),FNGD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-3.0,47.5,,,,142.58,130030.07,1/29/2024,-30,4.75,0.1
 01/26/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-2.0,115.25,,,,230.51,131776.9,1/30/2024,-10,23.05,0.2
 01/26/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-15.0,12.79,,,,191.87,131776.9,1/30/2024,-15,12.79,1.0
 02/01/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-2.0,109.55,,,,219.1,132225.32,2/5/2024,-10,21.91,0.2
 02/02/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY GOLD INDX 2X (NUGT) (Short),NUGT, DIREXION SHS ETF TR DLY GOLD INDX 2X,Short,-5.0,27.5,,,,137.5,132583.58,2/6/2024,-5,27.5,1.0
 02/02/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY S&P BIOTCH (LABU) (Short),LABU, DIREXION SHS ETF TR DAILY S&P BIOTCH,Short,-2.0,108.92,,,,217.83,132583.58,2/6/2024,-2,108.92,1.0
 02/02/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (06367V204) (Short),FNGD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-5.0,45.1,,,,225.52,132583.58,2/6/2024,-50,4.51,0.1
 02/07/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA VIX SHORT 1 FO... (74347Y771) (Short),UVXY, PROSHARES TR II ULTRA VIX SHORT 1 FOR 5,Short,-20.0,7.13,,,,142.61,132280.94,2/9/2024,-20,7.13,1.0
 02/07/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-2.0,101.7,,,,203.4,132280.94,2/9/2024,-10,20.34,0.2
 02/07/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,214.44,,,,214.44,132280.94,2/9/2024,-1,214.44,1.0
 02/07/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (06367V204) (Short),FNGD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-4.0,42.5,,,,170.16,132280.94,2/9/2024,-40,4.25,0.1
 02/09/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY JR GLD MIN... (JNUG) (Short),JNUG, DIREXION SHS ETF TR DAILY JR GLD MIN IN,Short,-5.0,24.65,,,,123.25,131715.43,2/13/2024,-5,24.65,1.0
 02/09/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679591) (Short),BERZ, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-5.5,28.5,,,,156.85,131715.43,2/13/2024,-55,2.85,0.1
 02/09/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (06367V204) (Short),FNGD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-5.0,39.1,,,,195.51,131715.43,2/13/2024,-50,3.91,0.1
 02/12/2024, YOU BOUGHT SHORT COVER BANK MONTREAL QUE ICROSECTORS FANG &... (BULZ) (Short),BULZ, BANK MONTREAL QUE ICROSECTORS FANG & 0.,BTC,1.0,137.66,,,,-137.66,131715.43,2/14/2024,1,137.66,1.0
 02/12/2024, YOU BOUGHT SHORT COVER BANK OF MONTREAL MICROSECTORS FANG T... (FNGU) (Short),FNGU, BANK OF MONTREAL MICROSECTORS FANG TM 0,BTC,1.0,333.47,,,,-333.47,131715.43,2/14/2024,1,333.47,1.0
 02/13/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-10.0,75.8,,0.01,,758.04,131715.43,2/15/2024,-50,15.16,0.2
 02/13/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY JR GLD MIN... (JNUG) (Short),JNUG, DIREXION SHS ETF TR DAILY JR GLD MIN IN,Short,-10.0,22.72,,,,227.2,131715.43,2/15/2024,-10,22.72,1.0
 02/13/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY GOLD INDX 2X (NUGT) (Short),NUGT, DIREXION SHS ETF TR DLY GOLD INDX 2X,Short,-10.0,24.05,,,,240.5,131715.43,2/15/2024,-10,24.05,1.0
 02/13/2024, YOU BOUGHT SHORT COVER BANK MONTREAL QUE ICROSECTORS FANG &... (BULZ) (Short),BULZ, BANK MONTREAL QUE ICROSECTORS FANG & 0.,BTC,2.0,125.52,,,,-251.04,131715.43,2/15/2024,2,125.52,1.0
 02/13/2024, YOU BOUGHT SHORT COVER BANK OF MONTREAL MICROSECTORS FANG T... (FNGU) (Short),FNGU, BANK OF MONTREAL MICROSECTORS FANG TM 0,BTC,1.0,305.32,,,,-305.32,131715.43,2/15/2024,1,305.32,1.0
 02/14/2024, YOU BOUGHT SHORT COVER MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,BTC,151.0,6.59,,,,-995.07,131715.43,2/16/2024,151,6.59,1.0
 02/14/2024, YOU BOUGHT SHORT COVER BANK MONTREAL QUE MICROSECTORS GOLD ... (GDXU) (Short),GDXU, BANK MONTREAL QUE MICROSECTORS GOLD 0.0,BTC,56.0,17.86,,,,-1000.16,131715.43,2/16/2024,56,17.86,1.0
 02/15/2024, YOU SOLD SHORT SALE DIREXION DAILY S&P BIOTECH BEAR 3X S... (LABD) (Short),LABD, DIREXION DAILY S&P BIOTECH BEAR 3X SHAR,Short,-20.0,8.36,,,,167.2,131715.43,2/20/2024,-20,8.36,1.0
 02/15/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-20.0,12.0,,,,240.07,131715.43,2/20/2024,-20,12.0,1.0
 02/16/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-6.0,70.5,,,,423.07,133217.45,2/21/2024,-30,14.1,0.2
