Date of Trade,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date,unadjusted_quantity,unadjusted_price,split_adjustment_factor
 03/14/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,168.32,,,,168.32,135804.54,3/18/2024,-1,168.32,1.0
 03/18/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,160.44,,,,160.44,136370.79,3/20/2024,-1,160.44,1.0
 03/19/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY S&P OIL GAS (DRIP) (Short),DRIP, DIREXION SHS ETF TR DLY S&P OIL GAS,Short,-35.0,9.26,,,,324.1,136370.79,3/21/2024,-35,9.26,1.0
 03/19/2024, YOU BOUGHT SHORT COVER MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,BTC,70.0,4.34,,,,-303.81,136370.79,3/21/2024,70,4.34,1.0
 03/19/2024, YOU BOUGHT SHORT COVER BANK MONTREAL QUE MICROSECTORS GOLD ... (GDXU) (Short),GDXU, BANK MONTREAL QUE MICROSECTORS GOLD 0.0,BTC,30.0,24.96,,,,-748.8,136370.79,3/21/2024,30,24.96,1.0
 03/21/2024, YOU SOLD SHORT SALE PROSHARES TR ULTRASHORT ENRGY (DUG) (Short),DUG, PROSHARES TR ULTRASHORT ENRGY,Short,-40.0,9.43,,,,377.27,136370.79,3/25/2024,-40,9.43,1.0
 03/21/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-30.0,9.92,,,,297.63,136370.79,3/25/2024,-30,9.92,1.0
 03/21/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-2.0,154.08,,,,308.16,136370.79,3/25/2024,-2,154.08,1.0
 03/21/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679625) (Short),BNKU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-80.0,4.75,,,,380.0,136370.79,3/25/2024,-80,4.75,1.0
 03/25/2024, YOU SOLD SHORT SALE PROSHARES TR ULTRASHORT ENRGY (DUG) (Short),DUG, PROSHARES TR ULTRASHORT ENRGY,Short,-20.0,9.29,,,,185.81,137839.77,3/27/2024,-20,9.29,1.0
 03/27/2024, YOU SOLD SHORT SALE MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,Short,-100.0,3.73,,,,373.09,137839.77,4/1/2024,-100,3.73,1.0
 03/28/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Short),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-10.0,14.29,,,,142.9,137272.14,4/2/2024,-10,14.29,1.0
